ENSEMBL_ID	GENE_SYMBOL	DESCRIPTION	Prot_log2FC_25_KD	Prot_FDR_25_KD	Prot_log2FC_68_KD	Prot_FDR_68_KD	Prot_log2FC_25_OE	Prot_FDR_25_OE	Prot_log2FC_68_OE	Prot_FDR_68_OE	RNA_log2FC_25_KD	RNA_FDR_25_KD	RNA_log2FC_68_KD	RNA_FDR_68_KD	RNA_log2FC_25_OE	RNA_FDR_25_OE	RNA_log2FC_68_OE	RNA_FDR_68_OE	CFIm_Target
ENSG00000075043	KCNQ2	potassium voltage-gated channel subfamily Q member 2	NA	NA	NA	NA	NA	NA	NA	NA	0.54512295	1.77E-05	-0.144796945	0.230053972	0.549391347	7.79E-05	0.122386889	0.505788051	0
ENSG00000075089	ACTR6	actin related protein 6	0.07679422	0.999980048	0.148823527	0.937693518	-0.00796397	0.906734954	-0.058935944	0.965661564	0.204224049	0.012983037	-0.006309968	0.933545731	0.099380109	0.311641775	0.052192837	0.635626526	0
ENSG00000075142	SRI	sorcin	0.020450743	0.999980048	0.075892292	0.940705097	-0.257340513	0.111420981	-0.30666876	0.027365413	0.009672479	0.925174526	-0.145145821	0.0182457	-0.194710373	0.022708554	-0.096327899	0.331770643	0
ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	0.068388765	0.999980048	0.176348215	0.937693518	-0.000184601	0.960935064	0.105574339	0.686579798	0.059365207	0.489861218	0.194777369	0.000316408	-0.201001596	0.009554644	-0.008051345	0.955922307	0
ENSG00000075188	NUP37	nucleoporin 37	-0.214984473	0.999980048	-0.237237343	0.937693518	-0.05170102	0.54283035	0.171310199	0.1484723	0.185424761	0.023495147	0.124051431	0.041528326	0.316105813	5.97E-05	0.009846411	0.953452909	0
ENSG00000075213	SEMA3A	semaphorin 3A	NA	NA	NA	NA	NA	NA	NA	NA	0.084491708	0.370139491	-0.005434076	0.962551404	-0.023101235	0.832972842	-0.105703123	0.321932723	0
ENSG00000075218	GTSE1	G2 and S-phase expressed 1	-0.155970172	0.999980048	-0.122881003	0.937693518	0.150942374	0.404379235	-0.021952885	0.571659157	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075223	SEMA3C	semaphorin 3C	NA	NA	NA	NA	NA	NA	NA	NA	-0.303199019	4.67E-05	-0.173242865	0.001634696	-0.00790361	0.94234112	0.402550164	1.03E-08	0
ENSG00000075234	TTC38	tetratricopeptide repeat domain 38	-0.025340443	0.999980048	0.000808998	0.937693518	0.123017558	0.840236901	0.18388304	0.98709329	-0.383157141	1.25E-05	-0.353334486	3.51E-08	-0.359249042	5.95E-05	-0.016033629	0.92073488	0
ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1	0.020479869	0.999980048	0.064888395	0.937693518	0.017038251	0.709121082	-0.222096993	0.120910575	0.583110286	2.02E-13	0.520175584	3.93E-18	0.218360178	0.016583556	0.056407356	0.637767007	0
ENSG00000075240	GRAMD4	GRAM domain containing 4	NA	NA	NA	NA	NA	NA	NA	NA	-0.4361309	0.010428006	-0.47321348	0.001531729	-0.229004157	0.195043342	0.28023185	0.144431245	0
ENSG00000075275	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	NA	NA	NA	NA	-0.093589515	0.206581747	0.000280377	0.752056314	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075290	WNT8B	Wnt family member 8B	NA	NA	NA	NA	NA	NA	NA	NA	0.555797442	0.118855537	0.453931276	0.158394477	0.275213187	0.50449475	-0.349124164	0.542241389	0
ENSG00000075292	ZNF638	zinc finger protein 638	0.033587482	0.999980048	0.025898277	0.937693518	-0.109901976	0.818377454	-0.099569965	0.172749697	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075336	TIMM21	translocase of inner mitochondrial membrane 21	-0.032726088	0.999980048	-0.111536588	0.956862399	0.151728741	0.210268493	0.099496555	0.437808064	-0.180116835	0.024182661	-0.075932134	0.200224618	-0.165805091	0.05065431	0.251176111	0.001244685	0
ENSG00000075340	ADD2	adducin 2	-0.041918635	0.999980048	0.080599463	0.937693518	-0.106093184	0.159271282	-0.157112616	0.068739702	0.547942789	4.94E-12	0.762434055	6.88E-33	0.134314822	0.156719727	-0.49204927	3.51E-08	0
ENSG00000075399	VPS9D1	VPS9 domain containing 1	NA	NA	NA	NA	NA	NA	NA	NA	-0.634034631	2.80E-13	-0.363578026	5.16E-08	-0.211375465	0.023066634	-0.015731937	0.930351105	0
ENSG00000075407	ZNF37A	zinc finger protein 37A	NA	NA	NA	NA	NA	NA	NA	NA	0.186066478	0.107587136	-0.33729802	0.000229877	0.470306932	2.49E-05	0.097078277	0.50418306	0
ENSG00000075413	MARK3	microtubule affinity regulating kinase 3	-0.079899102	0.999980048	-0.038323782	0.937693518	0.153147401	0.064764215	0.268619477	0.017661313	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075415	SLC25A3	solute carrier family 25 member 3	0.019403042	0.999980048	0.123389296	0.937693518	0.206400855	0.060903199	-0.011063497	0.740405494	0.124849852	0.088024364	0.154458527	0.002079482	0.128963054	0.095782225	0.033453245	0.754010058	0
ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	-0.072351531	0.999980048	0.208140298	0.892417731	0.139947592	0.30644165	0.333003614	0.031040091	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075539	FRYL	FRY like transcription coactivator	-0.040219078	0.999980048	0.011720588	0.988435495	0.0802654	0.509331848	0.035555768	0.715409826	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075568	TMEM131	transmembrane protein 131	0.009232117	0.999980048	0.010927738	0.971926496	0.119799316	0.795966207	0.712617487	0.004144605	-0.473203898	1.25E-07	-0.318885163	5.33E-06	0.071589782	0.499375674	-0.270459898	0.007272458	0
ENSG00000075618	FSCN1	fascin actin-bundling protein 1	0.220882547	0.999980048	0.081322905	0.941526925	-0.131862043	0.326223867	-0.256437624	0.09676582	-0.219980568	0.009736233	-0.362268217	1.83E-09	-0.574948007	5.76E-09	0.524244642	7.78E-13	0
ENSG00000075624	ACTB	actin beta	0.011422059	0.999980048	0.040873377	0.961778764	0.270821613	0.066617712	0.592725335	0.003184773	-0.112705489	0.107535394	-0.110239385	0.01544086	-0.749464366	5.55E-18	0.032662508	0.721655849	0
ENSG00000075643	MOCOS	molybdenum cofactor sulfurase	NA	NA	NA	NA	NA	NA	NA	NA	0.911781138	5.60E-26	0.592491742	6.87E-18	0.382564719	5.27E-05	0.029606385	0.860151115	0
ENSG00000075651	PLD1	phospholipase D1	-0.075253424	0.999980048	0.066582289	0.937693518	0.07746545	0.412397876	-0.004129437	0.962495361	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000075673	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	NA	NA	NA	NA	NA	NA	NA	NA	0.577716831	0.000697537	0.572799144	3.61E-05	0.971199453	9.91E-10	-0.087769014	0.765823311	0
ENSG00000075702	WDR62	WD repeat domain 62	0.084942782	0.999980048	0.131326562	0.937693518	0.159435571	0.46065905	0.47251277	0.002692017	-0.345752916	3.47E-08	-0.21649569	1.88E-06	-0.088734409	0.234205042	-0.01385431	0.910021865	0
ENSG00000075711	DLG1	discs large MAGUK scaffold protein 1	-0.065196446	0.999980048	-0.074872664	0.938985008	0.052862972	0.594366534	-0.221553756	0.047791736	0.038196024	0.770092116	-0.180243102	0.014740512	0.213206114	0.028874833	-0.132264899	0.240459123	0
ENSG00000075785	RAB7A	"RAB7A, member RAS oncogene family"	0.016372129	0.999980048	-0.076491873	0.937693518	0.348743648	0.008671582	0.148407742	0.334202976	0.161229604	0.030490819	0.119791089	0.018719077	-0.071576891	0.368466913	-0.265355784	0.000236663	0
ENSG00000075790	BCAP29	B cell receptor associated protein 29	-0.113932271	0.999980048	0.250400849	0.937693518	-0.242363988	0.112486502	0.090419355	0.497855312	0.610804605	2.65E-12	0.942322309	2.19E-49	0.209097446	0.051319827	-0.211150583	0.053146873	0
ENSG00000075826	SEC31B	"SEC31 homolog B, COPII coat complex component"	NA	NA	NA	NA	NA	NA	NA	NA	-1.554187565	2.89E-58	-1.659367288	6.93E-97	-0.544171428	2.34E-09	0.547987458	4.58E-10	0
ENSG00000075856	SART3	"spliceosome associated factor 3, U4/U6 recycling protein"	0.047779039	0.999980048	0.077052756	0.937693518	-0.151969625	0.211096401	-0.139025937	0.224032577	-0.033792164	0.699385536	-0.170803844	0.001047473	-0.130793963	0.091397805	0.096033143	0.266802047	0
ENSG00000075891	PAX2	paired box 2	NA	NA	NA	NA	NA	NA	NA	NA	-0.023685624	0.938312568	-0.010690184	1	0.977196422	6.95E-06	0.699533936	0.003086356	0
ENSG00000075914	EXOSC7	exosome component 7	0.040536444	0.999980048	0.063038537	0.979769873	-0.041150404	0.88347288	-0.192592239	0.108359139	0.376391105	8.10E-07	0.237184215	3.54E-05	0.19129856	0.020115773	-0.265056483	0.001890602	0
ENSG00000075945	KIFAP3	kinesin associated protein 3	0.014408322	0.999980048	-0.182901603	0.937693518	0.069709908	0.939713017	-0.228297656	0.046005818	-0.121305726	0.121127013	-0.345061983	2.14E-11	0.063988111	0.437308522	-0.062202191	0.501101912	0
ENSG00000075975	MKRN2	makorin ring finger protein 2	0.003978357	0.999980048	0.018314516	0.937693518	0.097840622	0.721746686	0.013119171	0.971229254	0.435920873	1.47E-09	0.303306184	2.92E-08	0.500870827	9.18E-12	-0.176342934	0.036773522	0
ENSG00000076003	MCM6	minichromosome maintenance complex component 6	0.11633132	0.999980048	0.118909979	0.937693518	-0.164971028	0.27900663	0.164693404	0.822991896	-0.130312467	0.041009494	-0.141419907	0.000721814	-0.292484641	1.97E-06	-0.179748594	0.006792317	0
ENSG00000076043	REXO2	RNA exonuclease 2	0.043149075	0.999980048	0.13231217	0.970159871	0.231115847	0.773305127	0.220860172	0.120673597	-0.175512646	0.239271139	-0.161154945	0.185333505	-0.175702569	0.26947358	0.050459005	0.817576946	0
ENSG00000076053	RBM7	RNA binding motif protein 7	-0.060688195	0.999980048	-0.095764461	0.994461167	0.067644537	0.312183531	0.305628823	0.012025526	-0.106901959	0.497619104	-0.083784226	0.507506062	0.251322021	0.068072355	0.177510625	0.290807311	0
ENSG00000076067	RBMS2	RNA binding motif single stranded interacting protein 2	-0.324995541	0.999980048	-0.276477906	0.937693518	-0.163672706	0.243085417	-0.113088186	0.491351001	0.349614895	0.001886734	0.61975419	5.39E-12	-0.198275972	0.107669055	0.059079447	0.731394085	0
ENSG00000076108	BAZ2A	bromodomain adjacent to zinc finger domain 2A	-0.050811629	0.999980048	0.032479806	0.94948994	0.010288329	0.503130832	0.180571643	0.091847503	0.138725729	0.042883626	0.15028153	0.001393071	-0.328325794	7.01E-07	-0.076109189	0.361567373	0
ENSG00000076201	PTPN23	protein tyrosine phosphatase non-receptor type 23	-0.033665428	0.999980048	0.049850129	0.962237248	0.071728723	0.846744533	-0.218305799	0.059149737	0.016796666	0.863120241	0.133279131	0.009633314	0.123460643	0.110144536	-0.13927899	0.122768854	0
ENSG00000076242	MLH1	mutL homolog 1	-0.002380424	0.999980048	0.001418983	0.937693518	0.090964846	0.320401234	0.110065751	0.180962374	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000076248	UNG	uracil DNA glycosylase	0.471991038	0.999980048	0.299842255	0.937693518	0.047664945	0.744053525	-0.071275213	0.689702242	0.107220695	0.171551796	-0.050878373	0.378434538	0.295884457	8.24E-05	-0.056906157	0.577355766	0
ENSG00000076258	FMO4	flavin containing dimethylaniline monoxygenase 4	NA	NA	NA	NA	NA	NA	NA	NA	0.022297932	0.973232577	-0.086250276	0.633811106	0.337138213	0.075005351	-0.764856502	0.000437974	0
ENSG00000076321	KLHL20	kelch like family member 20	NA	NA	NA	NA	0.112058992	0.437948122	0.531156986	0.024581974	-0.051302313	1	0.219367337	0.680356494	-0.741162505	0.148277612	-0.593333943	0.348967043	0
ENSG00000076351	SLC46A1	solute carrier family 46 member 1	NA	NA	NA	NA	0.064373666	0.715042509	-0.159297885	0.085980962	0.192760635	0.007893793	0.483130746	5.43E-22	0.292966327	3.94E-05	0.055669539	0.564349133	0
ENSG00000076356	PLXNA2	plexin A2	NA	NA	NA	NA	-0.15226798	0.096457184	0.075935735	0.423061212	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000076382	SPAG5	sperm associated antigen 5	-0.185006859	0.999980048	0.007022992	0.993813174	0.014987226	0.890739035	0.232543203	0.060427131	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000076513	ANKRD13A	ankyrin repeat domain 13A	-0.083452764	0.999980048	-0.096849116	0.949477634	-0.058592804	0.453821522	-0.056532296	0.699619946	-0.012368385	0.946823738	-0.178814505	0.026683112	0.223962566	0.028624339	0.103442052	0.423801754	0
ENSG00000076554	TPD52	tumor protein D52	-0.02126305	0.999980048	-0.004188598	0.952594755	-0.279981942	0.055348201	-0.203555068	0.065529443	-0.10677949	0.185438258	-0.193512523	0.000137262	-0.099445237	0.217545661	0.017441305	0.890516512	0
ENSG00000076555	ACACB	acetyl-CoA carboxylase beta	NA	NA	NA	NA	0.119594377	0.958551852	0.187104328	0.458122952	0.181674763	0.040210049	-0.103456489	0.130770376	0.338936422	4.26E-05	0.020637911	0.895638272	0
ENSG00000076604	TRAF4	TNF receptor associated factor 4	NA	NA	NA	NA	-0.007887975	0.958242408	0.142504756	0.096604344	0.035058708	0.789352577	0.033090689	0.706939262	0.133711366	0.199756209	0.097488415	0.437751685	0
ENSG00000076641	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	NA	NA	NA	NA	-0.123084809	0.371917547	-0.11973998	0.596972515	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000076650	GPATCH1	G-patch domain containing 1	-0.040899388	0.999980048	0.061804828	0.937693518	0.108606143	0.171248663	-0.049893802	0.690219165	-0.093845984	0.265263616	-0.002674038	0.976553483	0.080273472	0.343201558	0.016621306	0.902196412	0
ENSG00000076662	ICAM3	intercellular adhesion molecule 3	NA	NA	NA	NA	NA	NA	NA	NA	0.220021163	0.32335668	-0.130524695	0.499407778	-0.53806827	0.015843513	-0.154871347	0.615671333	0
ENSG00000076685	NT5C2	"5'-nucleotidase, cytosolic II"	0.345045785	0.999980048	0.290537545	0.937693518	0.176773895	0.486685535	-0.154103757	0.237217125	-0.016975648	0.854853535	-0.190592014	0.000216102	0.211999147	0.00377657	-0.003651919	0.989026	0
ENSG00000076706	MCAM	melanoma cell adhesion molecule	-0.199376695	0.999980048	-0.33638746	0.937693518	-0.237434742	0.019809648	0.072490985	0.669153613	-0.537081165	2.19E-14	-0.63107663	3.72E-35	0.149735185	0.045452124	-0.074950529	0.432511197	0
ENSG00000076716	GPC4	glypican 4	0.353118645	0.999980048	0.386161825	0.937693518	-0.251214151	0.088137691	0.169889917	0.075394217	-0.064440067	0.412818836	-0.124230681	0.012934625	-0.076963464	0.335073963	0.439467707	2.79E-12	0
ENSG00000076770	MBNL3	muscleblind like splicing regulator 3	NA	NA	NA	NA	NA	NA	NA	NA	-0.295177257	0.025027581	-0.1459091	0.196975607	-0.037195109	0.809859109	-0.032161126	0.8824466	0
ENSG00000076826	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	0.043336061	0.999980048	-0.044164753	0.937693518	-0.099474901	0.459884725	-0.304368984	0.017471104	-0.232212736	0.014361857	-0.275669118	8.07E-05	-0.24823595	0.034257466	-0.259769017	0.014870052	0
ENSG00000076864	RAP1GAP	RAP1 GTPase activating protein	NA	NA	NA	NA	NA	NA	NA	NA	0.28625369	0.025187672	-0.229476857	0.033924376	0.740708852	2.76E-10	-0.19778381	0.257514736	0
ENSG00000076924	XAB2	XPA binding protein 2	0.037317014	0.999980048	0.043609562	0.960718073	0.029983149	0.764598256	-0.09423974	0.416180729	0.155161989	0.032510279	0.233312689	5.92E-06	0.109888158	0.194678412	-0.276017176	0.000230895	0
ENSG00000076928	ARHGEF1	Rho guanine nucleotide exchange factor 1	-0.00955281	0.999980048	0.010383883	0.963542738	-0.041558791	0.406982981	0.030417637	0.631114539	-0.541082354	8.27E-14	-0.476706391	2.17E-19	-0.231979788	0.004701346	-0.0262389	0.830310503	0
ENSG00000076944	STXBP2	syntaxin binding protein 2	-0.081846954	0.999980048	-0.003228376	0.94228526	0.082142661	0.33071583	-0.040390884	0.647793749	-0.168111951	0.026951338	-0.120997992	0.023988132	0.073670199	0.380066407	-0.389508641	8.52E-07	0
ENSG00000076984	MAP2K7	mitogen-activated protein kinase kinase 7	-0.031020783	0.999980048	-0.095604976	0.941844887	0.081134897	0.60368569	-0.18984317	0.337849151	-0.545248725	0.037905335	0.084612299	0.739219096	-0.015236235	1	-0.259543452	0.434473867	0
ENSG00000077009	NMRK2	nicotinamide riboside kinase 2	NA	NA	NA	NA	NA	NA	NA	NA	0.015010387	1	-0.858078219	0.112625468	0.266179888	0.701426801	-0.140057928	0.948566626	0
ENSG00000077044	DGKD	diacylglycerol kinase delta	NA	NA	NA	NA	NA	NA	NA	NA	-0.273129417	0.004035493	-0.341749281	5.28E-06	-0.246922295	0.012562717	-0.078393069	0.506741688	0
ENSG00000077063	CTTNBP2	cortactin binding protein 2	NA	NA	NA	NA	NA	NA	NA	NA	0.244183144	0.011397112	0.152867468	0.04883844	0.324971125	0.000937293	-0.184915425	0.093025085	0
ENSG00000077080	ACTL6B	actin like 6B	NA	NA	NA	NA	NA	NA	NA	NA	0.774107072	0.278400437	-0.320935285	0.772122987	1.260196521	0.028105087	-5.098497492	0.002018436	0
ENSG00000077092	RARB	retinoic acid receptor beta	NA	NA	NA	NA	NA	NA	NA	NA	0.045808021	0.792670485	0.371626881	0.000699554	0.978595119	2.12E-17	-0.490764372	0.001509926	0
ENSG00000077097	TOP2B	DNA topoisomerase II beta	-0.025742791	0.999980048	0.164512978	0.937693518	-0.058180696	0.405473725	-0.33457212	0.020309239	0.284341791	1.19E-05	0.203307237	2.17E-05	0.483236993	1.98E-12	-0.286165382	4.47E-05	0
ENSG00000077147	TM9SF3	transmembrane 9 superfamily member 3	0.132271121	0.999980048	0.119107676	0.956862399	-0.033929971	0.925485522	0.005799057	0.65693641	-0.19105649	0.002686611	-0.833088677	1.16E-81	0.028120119	0.754941094	0.227062912	0.000178154	0
ENSG00000077150	NFKB2	nuclear factor kappa B subunit 2	-0.020674782	0.999980048	-0.017816565	0.937693518	0.023700749	0.988274474	-0.024702827	0.881259928	0.218402873	0.014629092	0.129269148	0.063902812	-0.043302007	0.708424326	-0.033815718	0.819456557	0
ENSG00000077152	UBE2T	ubiquitin conjugating enzyme E2 T	-0.05240525	0.999980048	-0.193532663	0.937693518	0.022424588	0.621855816	0.332012127	0.010170943	0.264195008	0.000128789	0.003520823	0.960353513	-0.024355584	0.780318165	0.005186839	0.974013896	0
ENSG00000077232	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	0.043741366	0.999980048	0.105365567	0.971926496	-0.272740123	0.039892997	0.504836248	0.012025526	-0.43113986	2.64E-09	-0.537356714	1.43E-24	-0.576477699	1.07E-12	0.099572324	0.264318488	0
ENSG00000077235	GTF3C1	general transcription factor IIIC subunit 1	0.039649111	0.999980048	-0.030105204	0.940705097	-0.013735771	0.872437675	0.122540949	0.11758534	-0.254330155	4.51E-05	-0.429761	2.79E-26	-0.528261776	2.54E-18	0.110031142	0.123081209	0
ENSG00000077238	IL4R	interleukin 4 receptor	NA	NA	NA	NA	NA	NA	NA	NA	-0.379487929	0.664698377	-0.031590822	1	0.105355466	1	0.816153006	0.178911067	0
ENSG00000077254	USP33	ubiquitin specific peptidase 33	-0.055523879	0.999980048	0.054311779	0.986779412	-0.095363361	0.9024273	0.237362961	0.017075419	-0.192562285	0.005829829	-0.179973686	0.000269585	0.138016367	0.06473414	-0.023127944	0.8425851	0
ENSG00000077264	PAK3	p21 (RAC1) activated kinase 3	NA	NA	NA	NA	NA	NA	NA	NA	1.124800384	1.04E-05	1.047674157	4.88E-06	1.056024359	9.89E-05	-2.042818922	5.13E-06	0
ENSG00000077274	CAPN6	calpain 6	NA	NA	NA	NA	NA	NA	NA	NA	0.914822001	0.079118834	1.269152273	0.002997803	-0.709557674	0.375804922	-1.577856687	0.087291014	0
ENSG00000077312	SNRPA	small nuclear ribonucleoprotein polypeptide A	0.134484063	0.999980048	0.169067848	0.937693518	-0.122627504	0.221199682	-0.327431322	0.004830618	0.079238923	0.27158797	-0.041477183	0.436494318	-0.253630581	0.00024375	0.065730693	0.425478832	0
ENSG00000077327	SPAG6	sperm associated antigen 6	NA	NA	NA	NA	NA	NA	NA	NA	0.181490397	0.202931959	0.063167545	0.62307416	-1.23641255	3.93E-16	0.246566126	0.114194344	0
ENSG00000077348	EXOSC5	exosome component 5	0.027397522	0.999980048	-0.117042928	0.937693518	-0.007851071	0.964674812	0.038733474	0.962932638	-0.199754416	0.012153249	-0.442321441	2.72E-14	-0.00137561	1	-0.011067359	0.93941905	0
ENSG00000077380	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	-0.012780435	0.999980048	0.166446562	0.937693518	-0.229852087	0.139585994	0.133786762	0.655881966	-0.178952137	0.011391398	-0.071639272	0.158660826	-0.581314317	4.57E-15	-0.247217722	0.001041058	0
ENSG00000077420	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	-0.227251357	0.999980048	0.039613696	0.937693518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000077454	LRCH4	leucine rich repeats and calponin homology domain containing 4	0.169378947	0.999980048	0.049922492	0.984947197	0.075928648	0.232914687	-0.147655167	0.112181271	-0.384841738	1.89E-06	-0.307898399	1.84E-07	-0.11094409	0.229985227	-0.103511968	0.305099909	0
ENSG00000077458	FAM76B	family with sequence similarity 76 member B	-0.063799105	0.999980048	-0.097747673	0.998549319	-0.355938861	0.009987061	-0.079139076	0.243469066	-0.191384748	0.107132013	0.028175304	0.790020833	0.325711624	0.002067482	0.087572126	0.532736532	0
ENSG00000077463	SIRT6	sirtuin 6	0.037723957	0.999980048	-0.056043275	0.937693518	0.170589557	0.263628036	-0.176566666	0.106620903	-0.178700822	0.088041955	-0.204509083	0.011065599	0.1839308	0.089678509	-0.291421257	0.006440122	0
ENSG00000077514	POLD3	"DNA polymerase delta 3, accessory subunit"	0.133487535	0.999980048	0.10750039	0.937693518	-0.021185813	0.93397398	-0.072700116	0.387284269	0.222345398	0.131645335	0.119934122	0.32183411	0.335788871	0.011145063	0.147552066	0.398421981	0
ENSG00000077522	ACTN2	actinin alpha 2	NA	NA	NA	NA	NA	NA	NA	NA	-0.472147696	2.03E-05	-0.311382203	0.000532141	-0.166312046	0.137163913	0.159029045	0.227499743	0
ENSG00000077549	CAPZB	capping actin protein of muscle Z-line subunit beta	-0.037836129	0.999980048	0.075670823	0.937693518	-0.062647874	0.371232221	0.100447124	0.333755855	0.010400807	0.916958256	0.081278484	0.109911271	-0.258791309	0.000220185	-0.028210504	0.781409503	0
ENSG00000077585	GPR137B	G protein-coupled receptor 137B	NA	NA	NA	NA	NA	NA	NA	NA	0.382819525	1.56E-05	0.720101641	1.58E-25	-0.613929146	2.25E-10	-0.023961871	0.883125058	0
ENSG00000077684	JADE1	jade family PHD finger 1	NA	NA	NA	NA	-0.103937011	0.851508637	-0.066803768	0.932567906	0.290180548	0.006414693	0.418068356	4.72E-07	0.558136788	1.69E-08	0.061114281	0.701383614	0
ENSG00000077935	SMC1B	structural maintenance of chromosomes 1B	NA	NA	NA	NA	NA	NA	NA	NA	-0.038726535	1	0.192892116	1	1.329682176	0.020356551	-1.384893461	0.189703705	0
ENSG00000077942	FBLN1	fibulin 1	-0.180629572	0.999980048	-0.213406886	0.937693518	-0.156519583	0.206226981	0.144853291	0.102896791	-0.420238239	2.16E-06	-0.218399985	0.001868788	-0.60081299	2.60E-10	0.173980004	0.082296215	0
ENSG00000077943	ITGA8	integrin subunit alpha 8	-0.137264911	0.999980048	-0.456943349	0.937693518	-0.023838372	0.7836944	0.17103113	0.121625541	-0.198770062	0.007405926	-0.481155341	1.00E-19	-0.299861909	9.84E-05	-0.132130762	0.107548431	0
ENSG00000078018	MAP2	microtubule associated protein 2	-0.0613353	0.999980048	-0.204933737	0.937693518	-0.311916051	0.049777943	0.265879857	0.086873263	-1.14208678	1.82E-13	-1.388714593	5.46E-27	-0.14352182	0.384061156	0.181873786	0.299841859	0
ENSG00000078018.1	MAP2	microtubule associated protein 2 - isoform	-0.0613353	0.999980048	-0.204933737	0.937693518	0.118248731	0.603049641	0.545415546	0.006847439	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000078043	PIAS2	protein inhibitor of activated STAT 2	-0.004760846	0.999980048	-0.000694774	0.963459299	0.249628732	0.490836526	0.319762388	0.143646709	0.487143225	1.10E-07	0.618999216	1.98E-18	0.185392325	0.066634519	0.063351035	0.646188205	0
ENSG00000078053	AMPH	amphiphysin	NA	NA	NA	NA	NA	NA	NA	NA	-0.090719704	0.813948818	0.111596992	0.68588788	0.457415944	0.077929904	-2.171018691	3.43E-09	0
ENSG00000078061	ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	0.136730562	0.999980048	0.082751849	0.937693518	0.164055965	0.803497192	-0.027730649	0.754917042	0.131189285	0.075175239	0.354303179	3.87E-13	-0.197909561	0.008265902	-0.111421856	0.189961999	0
ENSG00000078070	MCCC1	methylcrotonyl-CoA carboxylase subunit 1	0.131596409	0.999980048	-0.077369081	0.950096205	-0.002900685	0.989334801	-0.206582281	0.056163912	0.134497987	0.086494587	0.056434093	0.350033481	0.307797101	3.64E-05	-0.253635651	0.001217321	0
ENSG00000078081	LAMP3	lysosomal associated membrane protein 3	NA	NA	NA	NA	NA	NA	NA	NA	0.453031678	2.80E-06	0.548852975	5.16E-14	0.096951561	0.426362793	-0.718343974	3.76E-11	0
ENSG00000078142	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	-0.024610349	0.999980048	-0.027016297	0.94938821	0.146285856	0.206261426	0.096486774	0.310439975	-0.011184597	0.958675372	-0.128384903	0.248051138	-0.045629336	0.768640393	0.193203892	0.196883549	0
ENSG00000078177	N4BP2	NEDD4 binding protein 2	-0.295646812	0.999980048	-0.256500941	0.937693518	-0.266533317	0.040894953	0.103693982	0.838501297	-0.164244128	0.136190743	-0.054775658	0.569716948	0.546913244	6.81E-08	0.121845413	0.313794416	0
ENSG00000078237	TIGAR	TP53 induced glycolysis regulatory phosphatase	0.079356844	0.999980048	0.184755107	0.937693518	-0.064350005	0.605306689	0.01345908	0.706820443	-0.293945026	0.014703722	0.110827625	0.225295958	-0.273359447	0.016995218	-0.102858449	0.492921954	0
ENSG00000078246	TULP3	TUB like protein 3	NA	NA	NA	NA	NA	NA	NA	NA	-0.049001552	0.714707649	-0.026566267	0.769490457	0.012506952	0.939799262	0.199408631	0.066974428	0
ENSG00000078304	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	-0.240465585	0.999980048	-0.242476119	0.963542738	0.241759893	0.041397987	0.131295178	0.263644381	NA	NA	NA	NA	NA	NA	NA	NA	0
ENSG00000078399	HOXA9	homeobox A9	-0.458924942	0.999980048	-0.324688256	0.688471982	0.109932237	0.151428327	-0.06099294	0.659872696	-0.100155423	0.222659547	0.070326998	0.247679292	0.229010761	0.002524047	-0.205256742	0.008727293	0
ENSG00000078401	EDN1	endothelin 1	NA	NA	NA	NA	NA	NA	NA	NA	-1.821447244	0.020421721	-0.609534949	0.398338007	0.18307025	0.91942296	0.463950501	0.547522272	0
